preset_name,amp_attack,amp_decay,amp_sustain,amp_release,osc1_waveform,filter_attack,filter_decay,filter_sustain,filter_release,filter_resonance,filter_env_amount,filter_cutoff,osc2_detune,osc2_waveform,master_vol,lfo_freq,lfo_waveform,osc2_range,osc_mix,freq_mod_amount,filter_mod_amount,amp_mod_amount,osc_mix_mode,osc1_pulsewidth,osc2_pulsewidth,reverb_roomsize,reverb_damp,reverb_wet,reverb_width,distortion_crunch,osc2_sync,portamento_time,keyboard_mode,osc2_pitch,filter_type,filter_slope,freq_mod_osc,filter_kbd_track,filter_vel_sens,amp_vel_sens,portamento_mode
Hazelnut,0.134808,0.7545,0,1.34275,2,0.766666,0,0.249008,1.32626,0.0534646,4.91339,0.807087,0.259843,1,0.834646,0,2,2,-0.685039,0.0789926,-0.97062,-0.590951,0,0.448819,0.787402,0.158995,0.527352,0.170651,0.930655,0,1,0,0,-9,2,0,,,,,
TechNo2,0.141667,0.323423,0,0,3,6.95688e-09,0.117267,0.026219,0.33064,0,0.629921,0.30315,0.0866142,1,0.88189,0,0,0,1,0,-1,-1,0,0.287752,0.0551181,0.0232903,0.177191,0.113303,0.979909,0.471,0,0,0,0,2,1,,,,,
Heartland,0.383333,1.03333,0.66,0.65692,2,0.591667,0,0.613334,1.225,0.496457,5.41732,1.38976,0.00362205,2,0.472441,0,0,0,0.11811,0.0923942,-0.513333,-1,0,0.968504,1,0,0.88,0.133333,1,0,0,0.02,0,0,0,0,,,,,
ElderFour,0.15,0,0.926667,0.708327,1,0.366667,0,1,1.04167,0.695039,-14.8267,1.46,0.0133334,0,0.574803,2.05,0,0,-0.04,0,-0.78,-1,0,0.489999,0,0,0.94,0.103334,1,0,0,0,0,0,0,1,,,,,
InPortAgain,0.0333333,0.316673,0.786667,0.29025,1,0,0.0666633,0.876667,0.333333,0.715376,5.97333,0.513333,4.47035e-10,2,0.8129,2.00787,0,-1,0.101697,0,-0.613334,-1,1,0.934466,0.886667,0,0.88,0.113333,1,0,0,0.003333,0,-7,0,1,,,,,
DirtyLeslie,0.0333333,0.316673,0.786667,0.248583,1,0,0.0666633,0.0733337,0.333333,0.496457,-0.629921,0.177165,4.47035e-10,2,0.706011,2.3622,0,0,0.101697,0,-1,-0.0466667,1,0.934466,0.886667,0,0.88,0.113333,1,0.291,0,0.003333,0,-7,1,1,,,,,
evening5down,0.0333333,1.23334,0,0.790247,0,0.0916667,0.6,0.476667,1.225,0.408209,6.82663,0.047139,0.02,1,0.725302,0,0,0,-0.0983033,0,-1,-1,0,0.006667,0,0.296667,0.88,0.24,1,0,0,0,0,-12,0,1,,,,,
evening5down02,0.0333333,1.50001,0,0.97358,2,0.0916667,0.6,0.476667,1.225,0.408209,3.90551,0.047139,0.02,0,0.725302,0,0,0,-0.0983033,0,-1,-1,0,0.622047,0,0.193334,0.88,0.14,1,0,0,0,0,-12,0,1,,,,,
Hybrid3,0.280603,2.47091,0.740895,0.432236,0,0.253258,0.550003,0.534316,1.06494,0.687402,3.14961,0.129921,-0.592388,2,0.566929,1.39744,0,0,0.212598,0.175344,-0.356067,-1,0,0.748031,0.984257,0.14885,0.363813,0.122139,0.914731,0.0268402,1,0,0,-3,0,1,,,,,
NP4new,0.0907096,1.33107,0,0.933333,2,0.184876,2.01555,0.918473,2.29248,0.302903,15.4013,0.301197,0.992828,0,0.715276,2.29058,2,0,0.308422,0.325664,0.0296824,-0.301386,1,0.266324,0.667852,0.26,0.969546,0.164571,1,0.0150421,1,0,0,0,0,1,,,,,
PBandJ,0.15,0.80834,0,0.64859,0,0,0.399997,0.216667,0.749997,0.873,16,0.460472,0.00666663,1,0.551181,0,0,0,-0.354331,0,-1,-1,0,0.983333,0,0,0.88,0.21,1,0.108,0,0.01,0,0,0,1,,,,,
Sliced,0.158333,1.16667,0,0.70692,2,0.683333,0.491663,0.226667,0.425007,0.481181,6.92913,0.555118,0.00787401,1,0.724409,1.90571,0,1,0.212598,0.263878,-0.593334,-0.626667,1,0.149606,1,0.0199997,0.786667,0.113958,1,0,0,0,0,7,0,1,,,,,
WantsToSing3,0.51398,0.491395,0.691068,0.228193,3,0.666822,2.44249,0.991804,1.79843,0.621695,-3.4323,0.0633666,-0.600994,2,0.815278,2.59843,0,1,0.92126,0.32338,-1,-1,0,0.299251,0.637795,0.113767,0.556473,0.236237,1,0.718902,0,0.0367258,2,12,2,0,,,,,
WantsToSing4,0.51398,0.491395,0.691068,0.228193,3,0.666822,2.44249,0.991804,1.79843,0.621695,-3.4323,1.07003,-0.600994,2,0.505278,2.59843,0,1,0.926667,0.373777,-1,-1,0,0.299251,0.637795,0.113767,0.556473,0.236237,1,0.637902,0,0.0600591,0,12,2,0,,,,,
DarkerBells,0.078514,1.56667,0,1.3169,2,0.182064,1.09167,0.23,1.22715,0.717953,3.3445,-0.106299,0.0551181,2,0.598425,1.47638,0,0,-0.858268,0,-1,-0.593988,0,0,0.165354,0.115487,0.474658,0.153841,0.901928,0,0,0,0,6,0,0,,,,,
Mud,0.165199,1.05288,0.33159,0.168453,2,0.291667,0,0.891016,2.42578,0.90126,-12.7244,1.5,0.0866142,2,0.0472441,0,0,0,-0.244094,0,-0.306667,-0.80702,0,0.983903,1,0.230912,0.788305,0.135889,0.843228,0.768,0,0,1,0,2,0,,,,,
BraveOboe,0.459574,0,0.668583,0.279834,2,0.869031,0.371961,0.884483,1.84324,0.740835,6.92913,0.561479,0.982496,1,0.834646,0,0,0,0.534689,0,-1,-1,1,0.802264,0.645669,0.184738,0.160824,0.0840224,0.850689,0.487969,1,0,1,10,1,0,,,,,
Demitasse,0.234488,0.783664,0.750544,0.846624,2,0.227214,0.447477,0,2.27609,0.0317506,14.9661,0.446598,-0.76926,0,0.70197,6.1962,1,1,0.548824,0.934711,-0.112849,-0.633715,0,0.693019,0.994536,0.290174,0.00746943,0.21881,0.820308,0.453305,0,0,0,6,2,0,,,,,
